

txt=block, round, feature_0, feature_1, feature_2, rt, Error, MaxTrialTime, fixationTime, Condition, recommended, selected
1, 5, 15 minutes, $23.95, Drink OR Garlic Bread, 2330, null, 40000, 1829.864561144369, 2, 0, 1;

1, 6, 30 minutes, $27.95, Drink OR Garlic Bread, 1281, null, 40000, 1019.5314400916694, 2, 0, 0;
1, 6, 30 minutes, $23.95, Drink AND Garlic Bread, 1281, null, 40000, 1019.5314400916694, 2, 0, 0;
1, 6, 45 minutes, $19.95, Drink OR Garlic Bread, 1281, null, 40000, 1019.5314400916694, 2, 0, 1;

1, 7, 15 minutes, $23.95, Drink OR Garlic Bread, 1184, null, 40000, 1220.7499594355884, 1, 0, 0;
1, 7, 15 minutes, $19.95, Drink AND Garlic Bread, 1184, null, 40000, 1220.7499594355884, 1, 0, 1;
1, 7, 45 minutes, $27.95, Drink AND Garlic Bread, 1184, null, 40000, 1220.7499594355884, 1, 0, 0;

1, 8, 45 minutes, $27.95, Drink AND Garlic Bread, 978, fast, 40000, 1154.1626875945167, 1, 0, 0;
1, 8, 30 minutes, $19.95, Drink AND Garlic Bread, 978, fast, 40000, 1154.1626875945167, 1, 0, 1;
1, 8, 30 minutes, $23.95, Drink OR Garlic Bread, 978, fast, 40000, 1154.1626875945167, 1, 0, 0;

1, 9, 45 minutes, $27.95, Drink OR Garlic Bread, 1338, null, 40000, 1005.7802153936325, 1, 0, 0;
1, 9, 15 minutes, $19.95, No sides, 1338, null, 40000, 1005.7802153936325, 1, 0, 1;
1, 9, 15 minutes, $27.95, No sides, 1338, null, 40000, 1005.7802153936325, 1, 0, 0;

1, 10, 30 minutes, $19.95, Drink AND Garlic Bread, 1635, null, 40000, 3661.1956435093934, 2, 0, 0;
1, 10, 15 minutes, $19.95, No sides, 1635, null, 40000, 3661.1956435093934, 2, 0, 1;
1, 10, 45 minutes, $23.95, Drink AND Garlic Bread, 1635, null, 40000, 3661.1956435093934, 2, 0, 0;

1, 11, 30 minutes, $27.95, Drink AND Garlic Bread, 1160, null, 40000, 1641.921103215818, 1, 0, 0;
1, 11, 15 minutes, $23.95, No sides, 1160, null, 40000, 1641.921103215818, 1, 0, 1;
1, 11, 15 minutes, $23.95, Drink AND Garlic Bread, 1160, null, 40000, 1641.921103215818, 1, 0, 0;

1, 12, 45 minutes, $27.95, Drink OR Garlic Bread, 1908, null, 40000, 1027.5117584620284, 2, 0, 0;
1, 12, 30 minutes, $23.95, Drink AND Garlic Bread, 1908, null, 40000, 1027.5117584620284, 2, 0, 0;
1, 12, 15 minutes, $23.95, Drink AND Garlic Bread, 1908, null, 40000, 1027.5117584620284, 2, 0, 1;

1, 13, 45 minutes, $27.95, Drink OR Garlic Bread, 1334, null, 40000, 3030.1296807607473, 1, 0, 0;
1, 13, 30 minutes, $23.95, Drink AND Garlic Bread, 1334, null, 40000, 3030.1296807607473, 1, 0, 0;
1, 13, 30 minutes, $19.95, Drink AND Garlic Bread, 1334, null, 40000, 3030.1296807607473, 1, 0, 1;

1, 14, 15 minutes, $19.95, No sides, 1761, null, 40000, 1320.51756098424, 2, 0, 1;
1, 14, 45 minutes, $27.95, Drink AND Garlic Bread, 1761, null, 40000, 1320.51756098424, 2, 0, 0;
1, 14, 45 minutes, $23.95, Drink OR Garlic Bread, 1761, null, 40000, 1320.51756098424, 2, 0, 0;

1, 15, 15 minutes, $19.95, Drink AND Garlic Bread, 3688, null, 40000, 1081.1274150782674, 1, 0, 1;
1, 15, 30 minutes, $19.95, No sides, 3688, null, 40000, 1081.1274150782674, 1, 0, 0;
1, 15, 30 minutes, $19.95, Drink AND Garlic Bread, 3688, null, 40000, 1081.1274150782674, 1, 0, 0;

1, 16, 15 minutes, $27.95, Drink AND Garlic Bread, 5281, null, 40000, 1556.6683361862506, 1, 0, 0;
1, 16, 30 minutes, $23.95, Drink AND Garlic Bread, 5281, null, 40000, 1556.6683361862506, 1, 0, 1;
1, 16, 30 minutes, $23.95, Drink OR Garlic Bread, 5281, null, 40000, 1556.6683361862506, 1, 0, 0;

1, 17, 30 minutes, $19.95, No sides, 3230, null, 40000, 2386.2021228068056, 2, 0, 0;
1, 17, 15 minutes, $19.95, No sides, 3230, null, 40000, 2386.2021228068056, 2, 0, 1;
1, 17, 45 minutes, $23.95, No sides, 3230, null, 40000, 2386.2021228068056, 2, 0, 0;

1, 18, 15 minutes, $27.95, No sides, 6114, null, 40000, 1002.5966621309404, 1, 0, 0;
1, 18, 45 minutes, $23.95, No sides, 6114, null, 40000, 1002.5966621309404, 1, 0, 0;
1, 18, 15 minutes, $27.95, Drink AND Garlic Bread, 6114, null, 40000, 1002.5966621309404, 1, 0, 1;

1, 19, 45 minutes, $19.95, Drink OR Garlic Bread, 2657, null, 40000, 1447.1457268046977, 2, 0, 0;
1, 19, 15 minutes, $19.95, Drink OR Garlic Bread, 2657, null, 40000, 1447.1457268046977, 2, 0, 1;
1, 19, 30 minutes, $27.95, Drink OR Garlic Bread, 2657, null, 40000, 1447.1457268046977, 2, 0, 0;

1, 20, 45 minutes, $27.95, Drink AND Garlic Bread, 3114, null, 40000, 1305.9548848361435, 2, 0, 0;
1, 20, 45 minutes, $19.95, Drink AND Garlic Bread, 3114, null, 40000, 1305.9548848361435, 2, 0, 0;
1, 20, 30 minutes, $19.95, No sides, 3114, null, 40000, 1305.9548848361435, 2, 0, 1;

1, 21, 30 minutes, $27.95, Drink AND Garlic Bread, 2052, null, 40000, 1604.43740900873, 2, 0, 0;
1, 21, 30 minutes, $27.95, Drink AND Garlic Bread, 2052, null, 40000, 1604.43740900873, 2, 0, 0;
1, 21, 30 minutes, $23.95, Drink OR Garlic Bread, 2052, null, 40000, 1604.43740900873, 2, 0, 1;

1, 22, 45 minutes, $23.95, No sides, 5359, null, 40000, 1434.123946354251, 2, 0, 0;
1, 22, 15 minutes, $23.95, No sides, 5359, null, 40000, 1434.123946354251, 2, 0, 0;
1, 22, 30 minutes, $19.95, No sides, 5359, null, 40000, 1434.123946354251, 2, 0, 1;

1, 23, 15 minutes, $19.95, Drink OR Garlic Bread, 3356, null, 40000, 2053.4630854668085, 2, 0, 1;
1, 23, 45 minutes, $27.95, Drink OR Garlic Bread, 3356, null, 40000, 2053.4630854668085, 2, 0, 0;
1, 23, 30 minutes, $19.95, Drink AND Garlic Bread, 3356, null, 40000, 2053.4630854668085, 2, 0, 0;

1, 24, 15 minutes, $23.95, No sides, 3854, null, 40000, 2108.6498481899876, 1, 0, 0;
1, 24, 30 minutes, $19.95, Drink AND Garlic Bread, 3854, null, 40000, 2108.6498481899876, 1, 0, 1;
1, 24, 45 minutes, $19.95, Drink OR Garlic Bread, 3854, null, 40000, 2108.6498481899876, 1, 0, 0;

2, 0, 45 minutes, $27.95, Drink AND Garlic Bread, 2614, null, 40000, 1633.9514532189764, 2, 0, 0;
2, 0, 45 minutes, $27.95, Drink AND Garlic Bread, 2614, null, 40000, 1633.9514532189764, 2, 0, 0;
2, 0, 30 minutes, $19.95, Drink OR Garlic Bread, 2614, null, 40000, 1633.9514532189764, 2, 0, 1;

2, 1, 45 minutes, $27.95, Drink OR Garlic Bread, 1292, null, 40000, 1307.8630295551457, 1, 0, 0;
2, 1, 45 minutes, $19.95, No sides, 1292, null, 40000, 1307.8630295551457, 1, 0, 1;
2, 1, 15 minutes, $23.95, Drink AND Garlic Bread, 1292, null, 40000, 1307.8630295551457, 1, 0, 0;

2, 2, 30 minutes, $27.95, No sides, 1029, null, 40000, 1580.735255203806, 2, 0, 0;
2, 2, 30 minutes, $19.95, Drink OR Garlic Bread, 1029, null, 40000, 1580.735255203806, 2, 0, 1;
2, 2, 45 minutes, $27.95, Drink OR Garlic Bread, 1029, null, 40000, 1580.735255203806, 2, 0, 0;

2, 3, 30 minutes, $19.95, No sides, 2692, null, 40000, 2769.4979731975827, 1, 0, 0;
2, 3, 30 minutes, $19.95, No sides, 2692, null, 40000, 2769.4979731975827, 1, 0, 0;
2, 3, 15 minutes, $19.95, No sides, 2692, null, 40000, 2769.4979731975827, 1, 0, 1;

2, 4, 15 minutes, $27.95, No sides, 1133, null, 40000, 1666.7440904317882, 1, 0, 0;
2, 4, 15 minutes, $23.95, No sides, 1133, null, 40000, 1666.7440904317882, 1, 0, 1;
2, 4, 30 minutes, $27.95, Drink AND Garlic Bread, 1133, null, 40000, 1666.7440904317882, 1, 0, 0;

2, 5, 15 minutes, $23.95, No sides, 2579, null, 40000, 1536.0189929266085, 1, 0, 1;
2, 5, 45 minutes, $27.95, No sides, 2579, null, 40000, 1536.0189929266085, 1, 0, 0;
2, 5, 45 minutes, $23.95, Drink AND Garlic Bread, 2579, null, 40000, 1536.0189929266085, 1, 0, 0;

2, 6, 30 minutes, $27.95, Drink AND Garlic Bread, 2360, null, 40000, 1879.298004214524, 1, 0, 0;
2, 6, 15 minutes, $23.95, Drink AND Garlic Bread, 2360, null, 40000, 1879.298004214524, 1, 0, 0;
2, 6, 15 minutes, $19.95, No sides, 2360, null, 40000, 1879.298004214524, 1, 0, 1;

2, 7, 45 minutes, $19.95, Drink AND Garlic Bread, 3018, null, 40000, 2343.077216802746, 1, 0, 0;
2, 7, 15 minutes, $19.95, No sides, 3018, null, 40000, 2343.077216802746, 1, 0, 1;
2, 7, 45 minutes, $19.95, Drink AND Garlic Bread, 3018, null, 40000, 2343.077216802746, 1, 0, 0;

2, 8, 45 minutes, $23.95, No sides, 1798, null, 40000, 1702.481930227324, 1, 0, 0;
2, 8, 15 minutes, $27.95, Drink AND Garlic Bread, 1798, null, 40000, 1702.481930227324, 1, 0, 0;
2, 8, 15 minutes, $19.95, Drink AND Garlic Bread, 1798, null, 40000, 1702.481930227324, 1, 0, 1;

2, 9, 15 minutes, $19.95, No sides, 1575, null, 40000, 1173.0631366366638, 2, 0, 1;
2, 9, 30 minutes, $23.95, No sides, 1575, null, 40000, 1173.0631366366638, 2, 0, 0;
2, 9, 45 minutes, $27.95, Drink OR Garlic Bread, 1575, null, 40000, 1173.0631366366638, 2, 0, 0;

2, 10, 30 minutes, $23.95, No sides, 1187, null, 40000, 1791.5768206696027, 2, 0, 0;
2, 10, 30 minutes, $19.95, Drink OR Garlic Bread, 1187, null, 40000, 1791.5768206696027, 2, 0, 1;
2, 10, 45 minutes, $23.95, Drink OR Garlic Bread, 1187, null, 40000, 1791.5768206696027, 2, 0, 0;

2, 11, 30 minutes, $23.95, Drink OR Garlic Bread, 1387, null, 40000, 1294.4371820397598, 2, 0, 0;
2, 11, 30 minutes, $19.95, No sides, 1387, null, 40000, 1294.4371820397598, 2, 0, 1;
2, 11, 30 minutes, $27.95, Drink AND Garlic Bread, 1387, null, 40000, 1294.4371820397598, 2, 0, 0;

2, 12, 30 minutes, $27.95, Drink AND Garlic Bread, 2979, null, 40000, 1162.7985727227122, 2, 0, 1;
2, 12, 45 minutes, $27.95, Drink OR Garlic Bread, 2979, null, 40000, 1162.7985727227122, 2, 0, 0;
2, 12, 30 minutes, $27.95, No sides, 2979, null, 40000, 1162.7985727227122, 2, 0, 0;

2, 13, 15 minutes, $27.95, Drink AND Garlic Bread, 1960, null, 40000, 2538.505473217895, 1, 0, 0;
2, 13, 45 minutes, $23.95, Drink OR Garlic Bread, 1960, null, 40000, 2538.505473217895, 1, 0, 0;
2, 13, 15 minutes, $23.95, No sides, 1960, null, 40000, 2538.505473217895, 1, 0, 1;

2, 14, 45 minutes, $23.95, Drink OR Garlic Bread, 1387, null, 40000, 1773.9085529072413, 1, 0, 0;
2, 14, 45 minutes, $19.95, Drink AND Garlic Bread, 1387, null, 40000, 1773.9085529072413, 1, 0, 1;
2, 14, 45 minutes, $27.95, No sides, 1387, null, 40000, 1773.9085529072413, 1, 0, 0;

2, 15, 45 minutes, $27.95, Drink OR Garlic Bread, 1185, null, 40000, 1501.6612281614007, 2, 0, 0;
2, 15, 15 minutes, $27.95, No sides, 1185, null, 40000, 1501.6612281614007, 2, 0, 0;
2, 15, 15 minutes, $19.95, Drink AND Garlic Bread, 1185, null, 40000, 1501.6612281614007, 2, 0, 1;

2, 16, 30 minutes, $19.95, Drink AND Garlic Bread, 3221, null, 40000, 1215.538927244896, 2, 0, 0;
2, 16, 15 minutes, $27.95, Drink AND Garlic Bread, 3221, null, 40000, 1215.538927244896, 2, 0, 1;
2, 16, 45 minutes, $23.95, No sides, 3221, null, 40000, 1215.538927244896, 2, 0, 0;

2, 17, 15 minutes, $19.95, No sides, 1859, null, 40000, 1228.0331057036738, 2, 0, 1;
2, 17, 45 minutes, $19.95, No sides, 1859, null, 40000, 1228.0331057036738, 2, 0, 0;
2, 17, 30 minutes, $19.95, No sides, 1859, null, 40000, 1228.0331057036738, 2, 0, 0;

2, 18, 15 minutes, $27.95, Drink AND Garlic Bread, 2285, null, 40000, 1881.625900635668, 2, 0, 0;
2, 18, 45 minutes, $23.95, No sides, 2285, null, 40000, 1881.625900635668, 2, 0, 1;
2, 18, 30 minutes, $27.95, No sides, 2285, null, 40000, 1881.625900635668, 2, 0, 0;

2, 19, 45 minutes, $27.95, Drink AND Garlic Bread, 1381, null, 40000, 1348.5363430406737, 1, 0, 0;
2, 19, 45 minutes, $19.95, Drink AND Garlic Bread, 1381, null, 40000, 1348.5363430406737, 1, 0, 1;
2, 19, 45 minutes, $19.95, Drink AND Garlic Bread, 1381, null, 40000, 1348.5363430406737, 1, 0, 0;

2, 20, 30 minutes, $23.95, No sides, 2013, null, 40000, 1220.2340019533774, 1, 0, 0;
2, 20, 30 minutes, $27.95, No sides, 2013, null, 40000, 1220.2340019533774, 1, 0, 0;
2, 20, 15 minutes, $27.95, Drink OR Garlic Bread, 2013, null, 40000, 1220.2340019533774, 1, 0, 1;

2, 21, 15 minutes, $27.95, No sides, 4468, null, 40000, 1283.9717694297233, 2, 0, 1;
2, 21, 30 minutes, $23.95, No sides, 4468, null, 40000, 1283.9717694297233, 2, 0, 0;
2, 21, 45 minutes, $27.95, No sides, 4468, null, 40000, 1283.9717694297233, 2, 0, 0;

2, 22, 15 minutes, $19.95, Drink OR Garlic Bread, 1851, null, 40000, 1134.3366393037682, 1, 0, 1;
2, 22, 45 minutes, $27.95, Drink OR Garlic Bread, 1851, null, 40000, 1134.3366393037682, 1, 0, 0;
2, 22, 30 minutes, $23.95, No sides, 1851, null, 40000, 1134.3366393037682, 1, 0, 0;

2, 23, 45 minutes, $19.95, Drink OR Garlic Bread, 3516, null, 40000, 2016.2858176511277, 1, 0, 0;
2, 23, 15 minutes, $19.95, No sides, 3516, null, 40000, 2016.2858176511277, 1, 0, 1;
2, 23, 15 minutes, $23.95, Drink AND Garlic Bread, 3516, null, 40000, 2016.2858176511277, 1, 0, 0;

2, 24, 30 minutes, $19.95, Drink AND Garlic Bread, 5058, null, 40000, 1026.3085814217773, 2, 0, 1;
2, 24, 30 minutes, $19.95, Drink OR Garlic Bread, 5058, null, 40000, 1026.3085814217773, 2, 0, 0;
2, 24, 15 minutes, $27.95, Drink OR Garlic Bread, 5058, null, 40000, 1026.3085814217773, 2, 0, 0;

3, 0, 45 minutes, $19.95, Drink AND Garlic Bread, 5303, null, 40000, 1160.7605644550022, 1, 0, 1;
3, 0, 30 minutes, $27.95, Drink AND Garlic Bread, 5303, null, 40000, 1160.7605644550022, 1, 0, 0;
3, 0, 15 minutes, $23.95, Drink OR Garlic Bread, 5303, null, 40000, 1160.7605644550022, 1, 0, 0;

3, 1, 15 minutes, $27.95, Drink OR Garlic Bread, 1516, null, 40000, 1653.4134055437692, 1, 0, 0;
3, 1, 45 minutes, $19.95, Drink AND Garlic Bread, 1516, null, 40000, 1653.4134055437692, 1, 0, 1;
3, 1, 30 minutes, $27.95, Drink OR Garlic Bread, 1516, null, 40000, 1653.4134055437692, 1, 0, 0;

3, 2, 45 minutes, $27.95, Drink AND Garlic Bread, 963, fast, 40000, 1266.6979104754166, 2, 0, 0;
3, 2, 30 minutes, $19.95, No sides, 963, fast, 40000, 1266.6979104754166, 2, 0, 1;
3, 2, 15 minutes, $19.95, Drink AND Garlic Bread, 963, fast, 40000, 1266.6979104754166, 2, 0, 0;

3, 3, 30 minutes, $23.95, No sides, 2244, null, 40000, 1181.3278507064388, 1, 0, 0;
3, 3, 15 minutes, $27.95, Drink AND Garlic Bread, 2244, null, 40000, 1181.3278507064388, 1, 0, 0;
3, 3, 30 minutes, $19.95, Drink OR Garlic Bread, 2244, null, 40000, 1181.3278507064388, 1, 0, 1;

3, 4, 45 minutes, $23.95, Drink AND Garlic Bread, 1312, null, 40000, 1639.9551252781596, 1, 0, 0;
3, 4, 45 minutes, $19.95, Drink OR Garlic Bread, 1312, null, 40000, 1639.9551252781596, 1, 0, 1;
3, 4, 15 minutes, $27.95, No sides, 1312, null, 40000, 1639.9551252781596, 1, 0, 0;

3, 5, 45 minutes, $23.95, Drink OR Garlic Bread, 1204, null, 40000, 1034.641198705503, 2, 0, 0;
3, 5, 45 minutes, $19.95, Drink AND Garlic Bread, 1204, null, 40000, 1034.641198705503, 2, 0, 1;
